,AtomicRadius,AtomicVolume,AtomicWeight,BulkModulus,BoilingT,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,Row,phi,SecondIonizationEnergy,ShearModulus
H,0.352362901,0.635952353,0.217337981,-0.191956252,0.253751367,-0.423261195,0.221297294,-0.452411115,-1.007712603,-0.289936185,0.126820132,-0.025928408,0.717507601,-0.631992936,0.02109549,-0.270104498
He,-0.067219824,0.141113415,0.1644952,0.136700749,0.016504688,0.073928982,0.151092902,-0.138169795,-0.180051506,-0.130642101,0.184019998,-0.024525566,-0.034059606,-0.217201233,0.16527842,-0.04218531
Li,-0.161448792,0.179495752,-0.114183605,0.136509597,0.106477179,0.04710944,0.065104418,-0.06909892,-0.210580841,-0.030035421,0.122460991,-0.388678521,0.137058616,-0.357075721,0.299677789,0.306349576
Be,-0.111666203,0.760181606,0.057829235,0.250146985,-0.396934181,0.128850281,0.037942491,0.135462999,-0.202221051,-0.046164535,0.166104555,0.214563042,-0.021428257,-0.594812393,0.395653576,0.000692882
B,0.260108441,0.707898498,0.064846456,-0.300478011,-0.51021874,0.082543738,0.589791834,0.523288429,-0.672266245,0.490484059,0.49622643,0.386530161,0.181043237,-0.620110631,-0.177121058,-0.171613306
C,0.398147941,0.744484961,0.662635565,-0.520578206,-0.673884928,-0.476653725,0.698719501,0.607384562,-0.562160075,0.673558354,0.587440014,0.619205773,0.615197659,-0.749764025,-0.552250326,-0.65275085
N,0.611493647,0.001809551,0.620457113,-0.446008623,0.094430886,-0.817921638,-0.130235627,-0.645908475,0.021001153,-0.271361649,-0.204579607,0.586720109,0.663306832,-0.584931254,-0.367534339,-0.559884846
O,-0.113971651,-0.188672677,0.108997799,0.214548141,0.371144176,-0.103028476,-0.404307097,-0.502800167,0.313224524,-0.465546817,-0.369453579,-0.103702106,-0.042887837,0.087556653,0.192866534,0.038901515
F,-0.308104753,-0.575614214,-0.171835244,0.462324202,0.702146351,0.220106006,-0.503306389,-0.394980043,0.283450395,-0.584290087,-0.465051442,-0.447120219,-0.242727116,0.444719464,0.501850367,0.371508181
Ne,-0.371431321,0.111633673,-0.160289392,0.215106234,0.044246282,0.136270896,0.173061252,0.068218231,-0.030552292,0.146158263,0.140524015,-0.259303808,-0.025772478,0.008220775,-0.029408859,0.156153247
Na,-0.309443861,0.366541713,-0.047993053,0.430220723,0.122222729,0.069015235,-0.030191261,0.007438918,-0.085920617,-0.171345517,0.04996147,-0.198099926,-0.003302393,-0.06976971,0.295524627,0.071686342
Mg,-0.134157658,0.05476021,-0.26434502,0.070781693,-0.050255112,0.119453222,0.132010028,0.110506169,-0.064646184,0.068450838,0.028430123,-0.292062402,-0.053869266,0.170183212,0.031277761,0.152702555
Al,0.025758188,-0.624650776,-0.132199258,-0.164478868,-0.096246876,0.114130355,0.136661127,0.06772773,-0.092598073,0.206448346,0.373883158,-0.173169285,-0.116702825,0.312182933,-0.092576973,0.080350071
Si,0.061916932,-0.275507063,0.113931619,0.108374737,-0.223466307,0.06354484,-0.095344491,0.229066879,0.27739495,0.113397703,0.110251322,0.119460411,-0.250616968,0.263587266,-0.057214241,-0.093754597
